ex_t_menhir_l_01	E 22 5
iron_cuirass	E -11 11
iron_helmet	E -11 11
iron_shield	E -11 11
largakh gro-bulfim	E -11 11
long bow	E -11 11
maeonius man-llu	E -11 11
misc_de_bowl_glass_peach_01	E -11 11
misc_de_bowl_glass_yellow_01	E -11 11
misc_de_bowl_orange_green_01	E -11 11
misc_de_bowl_redware_03	E -11 11
misc_de_muck_shovel_01	E -11 11
misc_de_pot_blue_01	E -11 11
misc_de_pot_blue_02	E -11 11
misc_de_pot_glass_peach_02	E -11 11
misc_de_pot_green_01	E -11 11
misc_de_pot_redware_01	E -11 11
misc_de_pot_redware_02	E -11 11
misc_de_pot_redware_03	E -11 11
molvirian palenix	E -11 11
netch_leather_gauntlet_left	E -11 11
netch_leather_pauldron_left	E -11 11
netch_leather_pauldron_right	E -11 11
shulki ashunbabi	E -11 11
silver longsword	E -11 11
silver war axe	E -11 11
steel battle axe	E -11 11
steel broadsword	E -11 11
terrain_boulder_01	E -11 11
terrain_boulder_02	E -11 11
terrain_natural_bridge_01	E -11 11
ughash gro-batul	E -11 11
yashnarz gro-ufthamph	E -11 11
zebba benamamat	E -11 11
hentus yansurnummu	E -11 10
punibi yahaz	E -11 10
ex_cave_door_01_koal	E -11 9
fedris tharen	E -11 9
din	E -12 13
expensive_ring_01_bill	E -12 13
synette jeline	E -12 13
tavynu tedran	E -12 13
com_chest_02_bc1	E -12 12
active_sign_guartrail_01	E -12 11
com_chest_11_k01	E -12 11
dreamer_talker09	E -12 11
terrain_rock_wg_03	E -12 11
in_mudboulder00	E -13 15
in_mudboulder04	E -13 15
ex_dwrv_alcove10	E -13 14
flora_treestump_wg_01	E -13 14
dwarven mace	E -13 13
misc_dwrv_coin00	E -13 13
assamanut sonnerralit	E -13 12
shargon odin-ahhe	E -13 12
door_cavern_doors00	E -14 14
ex_ruin_rubble00	E -14 14
ex_ruin_rubble10	E -14 14
ex_ruin_rubble20	E -14 14
massour asserrumusa	E -14 14
mubdan assantinalit	E -14 14
alvor andas	I abaelun mine
davas aralas	I abaelun mine
flora_bc_vine_06	I abaelun mine
furn_rail_slope00	I abaelun mine
in_cavern_beam00	I abaelun mine
in_mold_rock_01	I abaelun mine
in_mold_rock_02	I abaelun mine
in_mold_rock_03	I abaelun mine
in_mold_rock_04	I abaelun mine
in_mold_rock_05	I abaelun mine
in_mold_rock_06	I abaelun mine
in_mold_rock_07	I abaelun mine
in_mold_rock_08	I abaelun mine
in_mold_rock_09	I abaelun mine
in_mold_rock_10	I abaelun mine
in_mold_rock_11	I abaelun mine
in_mold_rock_12	I abaelun mine
in_mold_rock_13	I abaelun mine
in_mold_rock_14	I abaelun mine
in_mold_rock_15	I abaelun mine
in_mold_rock_16	I abaelun mine
in_mold_rock_17	I abaelun mine
in_mold_rock_18	I abaelun mine
in_mold_rock_19	I abaelun mine
in_mold_rock_20	I abaelun mine
in_mold_rock_21	I abaelun mine
in_mold_rock_22	I abaelun mine
in_mold_rock_23	I abaelun mine
in_mold_rock_24	I abaelun mine
in_mold_rock_25	I abaelun mine
in_mold_rock_27	I abaelun mine
in_mold_rock_28	I abaelun mine
in_moldcave2_s_00	I abaelun mine
in_moldcave2_s_04	I abaelun mine
in_moldcave2_s_05	I abaelun mine
in_moldcave_28_1	I abaelun mine
in_moldcave_exit00	I abaelun mine
in_moldcave_form10	I abaelun mine
in_moldcave_lroom2_00	I abaelun mine
in_moldcave_lroom3_00	I abaelun mine
in_moldcave_lroom3_02	I abaelun mine
in_moldcave_lroom4_01	I abaelun mine
in_moldcave_lroom4_02	I abaelun mine
in_moldcave_lroom4_03	I abaelun mine
in_moldcave_lroom4_04	I abaelun mine
in_moldcave_lroom4_05	I abaelun mine
in_moldcave_stal00	I abaelun mine
in_moldcave_stal50	I abaelun mine
in_moldtrans_00	I abaelun mine
light_tikitorch002	I abaelun mine
mervis	I abaelun mine
northmarker	I abaelun mine
rernel arano	I abaelun mine
rock_diamond_01	I abaelun mine
rock_diamond_02	I abaelun mine
rock_diamond_03	I abaelun mine
rock_diamond_04	I abaelun mine
rock_diamond_05	I abaelun mine
rock_diamond_06	I abaelun mine
rock_diamond_07	I abaelun mine
sound_cave_wind00	I abaelun mine
egg_kwama00	I abaesen-pulu egg mine
eggsack_glow_256	I abaesen-pulu egg mine
flora_bc_vine_04	I abaesen-pulu egg mine
flora_bc_vine_05	I abaesen-pulu egg mine
furn_de_minercave_grill_01	I abaesen-pulu egg mine
in_egg_kwama_blight_lev+0	I abaesen-pulu egg mine
in_egg_kwama_blight_lev+2	I abaesen-pulu egg mine
in_egg_kwama_lev+2	I abaesen-pulu egg mine
in_mold_rock_26	I abaesen-pulu egg mine
in_moldboulder00	I abaesen-pulu egg mine
in_moldboulder01	I abaesen-pulu egg mine
in_moldboulder02	I abaesen-pulu egg mine
in_moldboulder04	I abaesen-pulu egg mine
in_moldcave2_s_01	I abaesen-pulu egg mine
in_moldcave_sroom2_00	I abaesen-pulu egg mine
in_moldcave_sroom3_02	I abaesen-pulu egg mine
in_moldcave_sroom4_01	I abaesen-pulu egg mine
in_moldcave_sroom4_02	I abaesen-pulu egg mine
in_moldcave_sroom4_03	I abaesen-pulu egg mine
in_moldcave_sroom4_04	I abaesen-pulu egg mine
iron dagger	I abaesen-pulu egg mine
kwama queen_abaesen	I abaesen-pulu egg mine
sound_cave_oldwood00	I abaesen-pulu egg mine
act_crystal_01_pulse	I abanabi
active_de_p_bed_28	I abanabi
blue water ref 256_ripple	I abanabi
blue water ref 512_ripple	I abanabi
blue_128_pulse	I abanabi
blue_256_pulse	I abanabi
bookskill_conjuration1	I abanabi
bookskill_destruction1	I abanabi
com_chest_01_misc05	I abanabi
com_chest_11_pos	I abanabi
contain_corpse10	I abanabi
crate_bandit_01	I abanabi
de_r_drawers_01_mcloth	I abanabi
draramu hloran	I abanabi
ebony light	I abanabi
ex_common_plat_lrg	I abanabi
furn_com_cauldron_02	I abanabi
furn_com_kegstand	I abanabi
furn_de_p_table_01	I abanabi
furn_de_screen_guar_01	I abanabi
furn_pycave_pool00	I abanabi
gold_005	I abanabi
in_dae_atronach_lev+2	I abanabi
in_nord_ladder_02	I abanabi
in_py_rock_01	I abanabi
in_py_rock_02	I abanabi
in_py_rock_03	I abanabi
in_py_rock_04	I abanabi
in_py_rock_05	I abanabi
in_py_rock_06	I abanabi
in_py_rock_07	I abanabi
in_py_rock_08	I abanabi
in_py_rock_09	I abanabi
in_py_rock_10	I abanabi
in_py_rock_11	I abanabi
in_py_rock_12	I abanabi
in_py_rock_13	I abanabi
in_py_rock_14	I abanabi
in_py_rock_19	I abanabi
in_py_rock_20	I abanabi
in_py_rock_21	I abanabi
in_py_rock_28	I abanabi
in_pyboulder00	I abanabi
in_pycave2_s_01	I abanabi
in_pycave2_s_04	I abanabi
in_pycave2_s_05	I abanabi
in_pycave4_s_00	I abanabi
in_pycave_04	I abanabi
in_pycave_21	I abanabi
in_pycave_21_1	I abanabi
in_pycave_27	I abanabi
in_pycave_28_1	I abanabi
in_pycave_exit00	I abanabi
ingred_diamond_01	I abanabi
ingred_emerald_01	I abanabi
ingred_raw_ebony_01	I abanabi
light_com_candle_07	I abanabi
light_de_lamp_04_256	I abanabi
light_de_lantern_07_warm	I abanabi
maranique jolvanne	I abanabi
misc_com_basket_02	I abanabi
misc_com_pitcher_metal_01	I abanabi
misc_com_redware_cup	I abanabi
misc_com_redware_plate	I abanabi
misc_com_tankard_01	I abanabi
misc_com_wood_fork	I abanabi
rock_ebony_01	I abanabi
rock_ebony_03	I abanabi
rock_ebony_07	I abanabi
sound_cave_drip00	I abanabi
urn_01_scrolls_01	I abanabi
wizard_chest_01_evil	I abanabi
bk_pillowinvoice	I abandoned shipwreck, cabin
com_cupboard_01_booze	I abandoned shipwreck, cabin
furn_de_p_stool_01	I abandoned shipwreck, cabin
furn_de_tapestry_01	I abandoned shipwreck, cabin
in_de_ship_cabindoor	I abandoned shipwreck, cabin
in_de_shipcabin	I abandoned shipwreck, cabin
crate_02_pillows	I abandoned shipwreck, lower level
crate_02_pillows_float	I abandoned shipwreck, lower level
in_de_ship_lowerlevel	I abandoned shipwreck, lower level
in_de_shipdoor_toplevel	I abandoned shipwreck, lower level
key_cabin	I abandoned shipwreck, lower level
misc_uni_pillow_01	I abandoned shipwreck, lower level
barrel_01_drinks	I abandoned shipwreck, upper level
chest_small_01_empty	I abandoned shipwreck, upper level
in_de_shipwreck_top	I abandoned shipwreck, upper level
ahnarra	I abebaal egg mine
crate_02_abebaal	I abebaal egg mine
dan_ru	I abebaal egg mine
dro'zah	I abebaal egg mine
eleedal_lei	I abebaal egg mine
ex_ai_boulder06	I abebaal egg mine
furn_de_overhang_18	I abebaal egg mine
in_cavern_beam20	I abebaal egg mine
in_cavern_ramp00	I abebaal egg mine
in_egg_kwama_lev+0	I abebaal egg mine
in_egg_kwama_mined	I abebaal egg mine
in_moldcave2_s_06	I abebaal egg mine
in_moldcave_08	I abebaal egg mine
in_moldcave_09	I abebaal egg mine
in_moldcave_14	I abebaal egg mine
in_moldcave_26	I abebaal egg mine
in_moldcave_doorway00	I abebaal egg mine
in_moldcave_stal20	I abebaal egg mine
in_moldcave_stal40	I abebaal egg mine
j'dato	I abebaal egg mine
kwama queen	I abebaal egg mine
seen-rei	I abebaal egg mine
alonisea varys	I abernanit
balis sari	I abernanit
com_chest_02_lev_gold	I abernanit
dandsa	I abernanit
ex_de_docks_piling	I abernanit
furn_de_kegstand	I abernanit
in_cave_all_lev-1	I abernanit
in_moldcave2_s_02	I abernanit
in_moldcave_21	I abernanit
in_moldcave_27	I abernanit
thelama indaren	I abernanit
6th bell hammer	I abinabi
active_6th_bell_01	I abinabi
active_6th_bell_02	I abinabi
active_6th_bell_03	I abinabi
active_6th_bell_04	I abinabi
active_6th_bell_05	I abinabi
active_6th_bell_06	I abinabi
dreamer_02	I abinabi
dreamer_f_01	I abinabi
furn_6th_ashaltar	I abinabi
furn_6th_ashpillar	I abinabi
furn_6th_ashstatue	I abinabi
furn_6th_bells	I abinabi
furn_6th_corprus_plate_01	I abinabi
furn_6th_dagothsymbol	I abinabi
furn_6th_platform	I abinabi
furn_6th_troth_01	I abinabi
furn_6th_troth_02	I abinabi
in_6th_all_lev+0	I abinabi
in_moldboulder03	I abinabi
in_moldboulder05	I abinabi
in_moldcave_02	I abinabi
in_moldcave_form00	I abinabi
in_moldcave_stal10	I abinabi
in_moldcave_stal30	I abinabi
ingred_6th_corprusmeat_01	I abinabi
ingred_6th_corprusmeat_02	I abinabi
ingred_6th_corprusmeat_03	I abinabi
ingred_6th_corprusmeat_04	I abinabi
ingred_6th_corprusmeat_05	I abinabi
ingred_6th_corprusmeat_06	I abinabi
ingred_6th_corprusmeat_07	I abinabi
light_6th_candle_01	I abinabi
light_com_candle_13_77	I abinabi
misc_6th_ash_statue_01	I abinabi
sound_lave_vat	I abinabi
sound_spirit_whisper00	I abinabi
bookskill_axe5	I adanumuran
com_chest_02_books	I adanumuran
crate_01_armor_leather	I adanumuran
dark_128	I adanumuran
fendel alam	I adanumuran
furn_com_pm_chair_02	I adanumuran
furn_de_cushion_round_01	I adanumuran
furn_de_cushion_round_03	I adanumuran
furn_redoran_shelf1_01	I adanumuran
gilyn drobar	I adanumuran
in_ar_08	I adanumuran
in_ar_10	I adanumuran
in_lava_rock_01	I adanumuran
in_lava_rock_02	I adanumuran
in_lava_rock_03	I adanumuran
in_lava_rock_04	I adanumuran
in_lava_rock_05	I adanumuran
in_lava_rock_06	I adanumuran
in_lava_rock_07	I adanumuran
in_lava_rock_08	I adanumuran
in_lava_rock_09	I adanumuran
in_lava_rock_11	I adanumuran
in_lava_rock_12	I adanumuran
in_lavaboulder02	I adanumuran
in_lavaboulder03	I adanumuran
in_lavaboulder04	I adanumuran
in_lavaboulder05	I adanumuran
in_lavacave2_s_01	I adanumuran
in_lavacave2_s_02	I adanumuran
in_lavacave2_s_03	I adanumuran
in_lavacave2_s_04	I adanumuran
in_lavacave2_s_05	I adanumuran
in_lavacave2_s_end	I adanumuran
in_lavacave4_s_00	I adanumuran
in_lavacave_07	I adanumuran
in_lavacave_09	I adanumuran
in_lavacave_10	I adanumuran
in_lavacave_21_1	I adanumuran
in_lavacave_doorway00	I adanumuran
in_lavacave_exit00	I adanumuran
in_lavacave_form10	I adanumuran
in_lavacave_form20	I adanumuran
in_lavacave_stal10	I adanumuran
in_lavacave_stal20	I adanumuran
in_lavacave_stal30	I adanumuran
in_lavacave_stal50	I adanumuran
ingred_ash_yam_01	I adanumuran
ingred_bread_01	I adanumuran
ingred_rat_meat_01	I adanumuran
light_de_candle_03	I adanumuran
light_de_candle_06	I adanumuran
light_de_candle_06_off	I adanumuran
light_de_candle_blue_01	I adanumuran
llaalsa dralor	I adanumuran
marilia saram	I adanumuran
misc_com_bottle_04	I adanumuran
misc_de_drum_01	I adanumuran
misc_de_drum_02	I adanumuran
thurisea thando	I adanumuran
apparatus_a_alembic_01	I addadshashanammu, shrine
apparatus_a_calcinator_01	I addadshashanammu, shrine
apparatus_a_mortar_01	I addadshashanammu, shrine
bk_oldways	I addadshashanammu, shrine
bookskill_alteration5	I addadshashanammu, shrine
bookskill_axe1	I addadshashanammu, shrine
chest_01_v_potion_ap_02	I addadshashanammu, shrine
chest_small_01_soulgem	I addadshashanammu, shrine
com_chest_daed_ruin_01	I addadshashanammu, shrine
dortodd	I addadshashanammu, shrine
eradan	I addadshashanammu, shrine
ex_dae_sheogorath	I addadshashanammu, shrine
in_dae_doorjamb_load	I addadshashanammu, shrine
in_dae_hall_l_corner	I addadshashanammu, shrine
in_dae_hall_l_endcap_01	I addadshashanammu, shrine
in_dae_hall_l_entry_01	I addadshashanammu, shrine
in_dae_hall_l_staircurve1	I addadshashanammu, shrine
in_dae_room_l_corner_01	I addadshashanammu, shrine
in_dae_room_l_floor_01	I addadshashanammu, shrine
in_dae_room_l_roof_03	I addadshashanammu, shrine
in_dae_room_l_side_01	I addadshashanammu, shrine
in_dae_room_r_corner_01	I addadshashanammu, shrine
in_dae_room_ruin_roof_03	I addadshashanammu, shrine
ingred_dae_cursed_pearl_01	I addadshashanammu, shrine
irinwe	I addadshashanammu, shrine
jolding	I addadshashanammu, shrine
light_com_candle_10	I addadshashanammu, shrine
light_dae_censer	I addadshashanammu, shrine
light_de_candle_02	I addadshashanammu, shrine
light_de_candle_19_256	I addadshashanammu, shrine
light_de_lamp_03_512	I addadshashanammu, shrine
light_tikilamp	I addadshashanammu, shrine
misc_com_bottle_01	I addadshashanammu, shrine
misc_com_bottle_08	I addadshashanammu, shrine
misc_de_goblet_08	I addadshashanammu, shrine
p_detect_creatures_s	I addadshashanammu, shrine
pelena acicius	I addadshashanammu, shrine
sc_balefulsuffering	I addadshashanammu, shrine
sc_blackdespair	I addadshashanammu, shrine
sc_flamebane	I addadshashanammu, shrine
sound_daedric_chant00	I addadshashanammu, shrine
winged twilight	I addadshashanammu, shrine
baadargo	I addamasartus
banalz	I addamasartus
com_chest_01_k01	I addamasartus
crate_01_skooma	I addamasartus
in_moldcave_03	I addamasartus
in_moldcave_07	I addamasartus
in_moldcave_10	I addamasartus
in_moldcave_15	I addamasartus
in_moldcave_21_1	I addamasartus
in_moldcave_25	I addamasartus
iron saber	I addamasartus
key_addamasartusslaves_01	I addamasartus
melar baram	I addamasartus
misc_de_bellows10	I addamasartus
misc_de_cloth11	I addamasartus
misc_de_goblet_07	I addamasartus
mulvisie othril	I addamasartus
okaw	I addamasartus
p_levitation_s	I addamasartus
tanisie verethi	I addamasartus
thief_ring	I addamasartus
torch	I addamasartus
in_cavern_beam10	I ahallaraddon egg mine
in_cavern_beam30	I ahallaraddon egg mine
in_cavern_stairs00	I ahallaraddon egg mine
in_cavern_wallmount00	I ahallaraddon egg mine
in_moldcave2_s_end	I ahallaraddon egg mine
in_moldcave_01	I ahallaraddon egg mine
in_moldcave_form30	I ahallaraddon egg mine
light_sconce10_256	I ahallaraddon egg mine
miner_01	I ahallaraddon egg mine
miner_02	I ahallaraddon egg mine
slaughterfish_small	I ahallaraddon egg mine
in_egg_kwama_blight_lev-1	I ahanibi-malmus egg mine
kwama queen_ahanibi	I ahanibi-malmus egg mine
in_ashl_door_02	I aharasaplit camp, zallay's yurt
in_ashl_tent_02	I aharasaplit camp, zallay's yurt
in_ashl_tent_banner_01	I aharasaplit camp, zallay's yurt
light_ashl_lantern_05	I aharasaplit camp, zallay's yurt
light_de_candle_01_64	I aharasaplit camp, zallay's yurt
misc_com_metal_plate_05	I aharasaplit camp, zallay's yurt
zallay subaddamael	I aharasaplit camp, zallay's yurt
apparatus_j_alembic_01	I aharnabi
apparatus_j_retort_01	I aharnabi
bookskill_alchemy1	I aharnabi
bookskill_alteration3	I aharnabi
chest_tomb_small00	I aharnabi
com_chest_01_misc02	I aharnabi
com_chest_01_misc03	I aharnabi
com_chest_02_tomb_comn	I aharnabi
com_sack_gold_05	I aharnabi
dirding	I aharnabi
erissare	I aharnabi
furn_de_p_bench_03	I aharnabi
honthjolf	I aharnabi
in_moldcave2_end	I aharnabi
light_de_candle_08	I aharnabi
light_de_lamp_02_256	I aharnabi
llarusea andrethi	I aharnabi
sc_summonfrostatronach	I aharnabi
sc_summonskeletalservant	I aharnabi
wizard_chest_01_all	I aharnabi
active_de_bed_29	I aharunartus
aravi	I aharunartus
bahdahna	I aharunartus
brothes oran	I aharunartus
furn_de_bed_28	I aharunartus
in_cavern_rail00	I aharunartus
in_cavern_rail10	I aharunartus
in_lava_rock_14	I aharunartus
in_lava_rock_16	I aharunartus
in_lava_rock_17	I aharunartus
in_lava_rock_19	I aharunartus
in_lavaboulder00	I aharunartus
in_lavaboulder01	I aharunartus
in_lavacave_08	I aharunartus
in_lavacave_15	I aharunartus
in_lavacave_19	I aharunartus
in_lavacave_25	I aharunartus
in_lavacave_form00	I aharunartus
in_lavacave_form30	I aharunartus
in_lavacave_stal00	I aharunartus
key_aharunartusslaves_01	I aharunartus
kishni	I aharunartus
light_com_candle_04	I aharunartus
light_tikitorch128	I aharunartus
light_tikitorch256	I aharunartus
misc_com_iron_ladle	I aharunartus
misc_skooma_vial	I aharunartus
nitterius rato	I aharunartus
valund	I aharunartus
wuleen-shei	I aharunartus
yatur gro-shak	I aharunartus
addammus	I ahemmusa camp, addammus's yurt
gold_010	I ahemmusa camp, addammus's yurt
in_ashl_tent_banner_06	I ahemmusa camp, addammus's yurt
in_ashl_tent_banner_09	I ahemmusa camp, addammus's yurt
in_ashl_tent_banner_15	I ahemmusa camp, addammus's yurt
light_ashl_lantern_04	I ahemmusa camp, addammus's yurt
light_ashl_lantern_07	I ahemmusa camp, addammus's yurt
light_de_candle_09_64	I ahemmusa camp, addammus's yurt
ulabael	I ahemmusa camp, addammus's yurt
in_ashl_tent_banner_05	I ahemmusa camp, ashkhan's yurt
in_ashl_tent_banner_10	I ahemmusa camp, ashkhan's yurt
in_ashl_tent_banner_14	I ahemmusa camp, ashkhan's yurt
light_ashl_lantern_06	I ahemmusa camp, ashkhan's yurt
light_com_candle_07_77	I ahemmusa camp, ashkhan's yurt
misc_com_basket_01	I ahemmusa camp, ashkhan's yurt
assamma-idan	I ahemmusa camp, assamma-idan's yurt
in_ashl_tent_banner_02	I ahemmusa camp, assamma-idan's yurt
in_ashl_tent_banner_03	I ahemmusa camp, assamma-idan's yurt
in_ashl_tent_banner_12	I ahemmusa camp, assamma-idan's yurt
chitin club	I ahemmusa camp, dutadalk's yurt
dutadalk	I ahemmusa camp, dutadalk's yurt
in_ashl_tent_banner_04	I ahemmusa camp, dutadalk's yurt
in_ashl_tent_banner_13	I ahemmusa camp, dutadalk's yurt
light_ashl_lantern_03	I ahemmusa camp, dutadalk's yurt
misc_com_wood_bowl_04	I ahemmusa camp, dutadalk's yurt
yenammu	I ahemmusa camp, dutadalk's yurt
kausi	I ahemmusa camp, kausi's yurt
light_ashl_lantern_01_512	I ahemmusa camp, kausi's yurt
light_com_candle_07_64	I ahemmusa camp, kausi's yurt
misc_com_wood_spoon_02	I ahemmusa camp, kausi's yurt
furn_com_cauldron_01	I ahemmusa camp, lanabi's yurt
in_ashl_tent_banner_07	I ahemmusa camp, lanabi's yurt
in_ashl_tent_banner_16	I ahemmusa camp, lanabi's yurt
lanabi	I ahemmusa camp, lanabi's yurt
light_ashl_lantern_01	I ahemmusa camp, lanabi's yurt
urn_05	I ahemmusa camp, lanabi's yurt
chest_01_v_potion_h_01	I ahemmusa camp, mamaea's yurt
mabarrabael	I ahemmusa camp, mamaea's yurt
mamaea	I ahemmusa camp, mamaea's yurt
mausur	I ahemmusa camp, nummu's yurt
nummu	I ahemmusa camp, nummu's yurt
apparatus_g_mortar_01	I ahemmusa camp, wise woman's yurt
furn_de_ashl_post	I ahemmusa camp, wise woman's yurt
in_ashl_door_01	I ahemmusa camp, wise woman's yurt
in_ashl_tent_03	I ahemmusa camp, wise woman's yurt
ingred_crab_meat_01	I ahemmusa camp, wise woman's yurt
ingred_daedra_skin_01	I ahemmusa camp, wise woman's yurt
ingred_green_lichen_01	I ahemmusa camp, wise woman's yurt
ingred_marshmerrow_01	I ahemmusa camp, wise woman's yurt
ingred_resin_01	I ahemmusa camp, wise woman's yurt
ingred_saltrice_01	I ahemmusa camp, wise woman's yurt
ingred_scales_01	I ahemmusa camp, wise woman's yurt
light_ashl_lantern_07_512	I ahemmusa camp, wise woman's yurt
sinnammu mirpal	I ahemmusa camp, wise woman's yurt
barrel_01_ahnassi_drink	I ahinipalit
barrel_bandit_01	I ahinipalit
bookskill_sneak3	I ahinipalit
breynis faryon	I ahinipalit
crate_01_armor_chitin	I ahinipalit
crate_01_ash_statues	I ahinipalit
de_p_chest_02_pos3	I ahinipalit
drorayni tharam	I ahinipalit
felara thimalvel	I ahinipalit
fentula pevengius	I ahinipalit
glass dagger	I ahinipalit
golmerea othravel	I ahinipalit
in_lava_rock_10	I ahinipalit
in_lava_rock_13	I ahinipalit
in_lava_rock_15	I ahinipalit
in_lava_rock_18	I ahinipalit
in_lavacave2_s_00	I ahinipalit
in_lavacave_03	I ahinipalit
in_lavacave_06	I ahinipalit
in_lavacave_17	I ahinipalit
lanald	I ahinipalit
light_de_candle_01	I ahinipalit
p_chameleon_q	I ahinipalit
p_cure_poison_s	I ahinipalit
sc_invisibility	I ahinipalit
abassel asserbassalit	I aidanat camp, abassel's yurt
in_ashl_tent_banner_08	I aidanat camp, abassel's yurt
ingred_fire_salts_01	I aidanat camp, abassel's yurt
ingred_wickwheat_01	I aidanat camp, abassel's yurt
madura seran	I aidanat camp, abassel's yurt
ash_zombie	I ainab
blue water ref 128	I ainab
in_mud_rock_01	I ainab
in_mud_rock_02	I ainab
in_mud_rock_03	I ainab
in_mud_rock_04	I ainab
in_mud_rock_05	I ainab
in_mud_rock_06	I ainab
in_mud_rock_07	I ainab
in_mud_rock_08	I ainab
in_mud_rock_09	I ainab
in_mud_rock_10	I ainab
in_mud_rock_11	I ainab
in_mud_rock_12	I ainab
in_mud_rock_13	I ainab
in_mud_rock_14	I ainab
in_mud_rock_15	I ainab
in_mud_rock_16	I ainab
in_mud_rock_17	I ainab
in_mud_rock_18	I ainab
in_mud_rock_19	I ainab
in_mud_rock_21	I ainab
in_mud_rock_24	I ainab
in_mudboulder01	I ainab
in_mudboulder02	I ainab
in_mudcave2_s_02	I ainab
in_mudcave2_s_03	I ainab
in_mudcave2_s_04	I ainab
in_mudcave2_s_05	I ainab
in_mudcave4_s_00	I ainab
in_mudcave_02	I ainab
in_mudcave_07	I ainab
in_mudcave_11	I ainab
in_mudcave_exit00	I ainab
in_mudcave_stal00	I ainab
in_mudcave_stal10	I ainab
in_mudcave_stal20	I ainab
in_mudcave_stal40	I ainab
iron flamecleaver	I ainab
light_com_candle_06_64	I ainab
ash_slave	I ainab, shrine
bonemold_boots	I ainab, shrine
bookskill_medium armor2	I ainab, shrine
corprus_stalker	I ainab, shrine
de_r_chest_01_gold2	I ainab, shrine
expensive_shirt_01_a	I ainab, shrine
furn_6th_tallbanner	I ainab, shrine
imperial belt	I ainab, shrine
in_mudboulder03	I ainab, shrine
in_mudcave_05	I ainab, shrine
in_mudcave_stal30	I ainab, shrine
in_mudcave_stal50	I ainab, shrine
light_6th_brazier	I ainab, shrine
p_feather_e	I ainab, shrine
p_fortify_agility_c	I ainab, shrine
silver claymore	I ainab, shrine
bookskill_alchemy2	I ainat
chest_small_02_gold_50	I ainat
com_chest_02_misc01	I ainat
com_chest_11_clothing	I ainat
crate_02_de_weapons	I ainat
dranos sandus	I ainat
furn_com_pm_stool_02	I ainat
furn_de_p_bench_04	I ainat
in_lava_rock_28	I ainat
in_lavacave_12	I ainat
in_lavacave_26	I ainat
iron longsword	I ainat
light_com_lantern_01	I ainat
light_de_candle_05_77	I ainat
llanas drilvi	I ainat
madsu dreth	I ainat
misc_de_goblet_02	I ainat
misc_imp_silverware_cup	I ainat
ulves marvel	I ainat
active_bubbles00	I akimaes grotto
in_mud_rock_27	I akimaes grotto
in_mudboulder05	I akimaes grotto
in_mudcave_00	I akimaes grotto
in_mudcave_04	I akimaes grotto
in_mudcave_15	I akimaes grotto
in_mudcave_17	I akimaes grotto
in_mudcave_25	I akimaes grotto
in_mudcave_26	I akimaes grotto
in_mudcave_nat_exit00	I akimaes grotto
in_moldcave_05	I akimaes-ilanipu egg mine
kwama queen_akimaes	I akimaes-ilanipu egg mine
light_sconce10	I akimaes-ilanipu egg mine
akul_glow_1024	I akulakhan's chamber
akula_door00	I akulakhan's chamber
akula_door01	I akulakhan's chamber
dagoth destroy detector	I akulakhan's chamber
dagoth_ur_2	I akulakhan's chamber
dreamer worker	I akulakhan's chamber
furn_dwrv_fitting20	I akulakhan's chamber
furn_dwrv_fitting40	I akulakhan's chamber
furn_dwrv_well00	I akulakhan's chamber
heart_akulakhan	I akulakhan's chamber
in_akulacave00	I akulakhan's chamber
in_akulakhan00	I akulakhan's chamber
in_dagoth_bridge00	I akulakhan's chamber
in_dagoth_plate00	I akulakhan's chamber
in_dagoth_plate10	I akulakhan's chamber
in_dagoth_plate20	I akulakhan's chamber
in_dagoth_scaffold00	I akulakhan's chamber
in_dwrv_crank_akula00	I akulakhan's chamber
in_lava_blacksquare	I akulakhan's chamber
in_py_rock_15	I akulakhan's chamber
in_py_rock_16	I akulakhan's chamber
in_py_rock_17	I akulakhan's chamber
in_py_rock_18	I akulakhan's chamber
in_py_rock_22	I akulakhan's chamber
in_py_rock_23	I akulakhan's chamber
in_py_rock_24	I akulakhan's chamber
in_py_rock_25	I akulakhan's chamber
in_py_rock_26	I akulakhan's chamber
in_py_rock_27	I akulakhan's chamber
in_pycave2_s_end	I akulakhan's chamber
in_pycave_stal00	I akulakhan's chamber
in_pycave_stal10	I akulakhan's chamber
in_pycave_stal20	I akulakhan's chamber
in_pycave_stal30	I akulakhan's chamber
in_pycave_stal40	I akulakhan's chamber
in_pycave_stal50	I akulakhan's chamber
lava_light_4096	I akulakhan's chamber
atronach_flame	I alas ancestral tomb
atronach_storm	I alas ancestral tomb
bookskill_restoration1	I alas ancestral tomb
chest_tomb_large02	I alas ancestral tomb
clannfear	I alas ancestral tomb
common_pants_02	I alas ancestral tomb
contain_dead_mehrunes00	I alas ancestral tomb
furn_banner_temple_02_indoors	I alas ancestral tomb
furn_bone_stake00	I alas ancestral tomb
furn_mist512	I alas ancestral tomb
furn_velothi_altar_01	I alas ancestral tomb
hunger	I alas ancestral tomb
in_v_l_int_column_01	I alas ancestral tomb
in_v_l_int_stairs_03	I alas ancestral tomb
in_v_s_int_center_01	I alas ancestral tomb
in_v_s_int_corner_01	I alas ancestral tomb
in_v_s_int_entrance_01	I alas ancestral tomb
in_v_s_int_lcenter_03	I alas ancestral tomb
